label,symbols,n_symbols,score,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,trade_count,cash_days_pct,missed_leader_pct_of_in_market,pain_bar_pct_of_in_market,sum_leader_gap_ret
without_BNBUSDT,"BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,ADAUSDT,DOGEUSDT,LINKUSDT,AVAXUSDT,LTCUSDT,TRXUSDT,DOTUSDT",11,-14.341,18405.55,94.2,-32.66,1.452,194,69.55,86.29,65.6,47.0055
without_DOGEUSDT,"BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SOLUSDT,ADAUSDT,LINKUSDT,AVAXUSDT,LTCUSDT,TRXUSDT,DOTUSDT",11,-15.477,17788.08,93.36,-36.56,1.451,205,69.07,85.26,65.69,44.3441
without_LTCUSDT,"BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SOLUSDT,ADAUSDT,DOGEUSDT,LINKUSDT,AVAXUSDT,TRXUSDT,DOTUSDT",11,-18.809,12684.33,85.28,-36.56,1.385,215,71.22,85.61,67.59,45.9216
without_BTCUSDT,"ETHUSDT,BNBUSDT,XRPUSDT,SOLUSDT,ADAUSDT,DOGEUSDT,LINKUSDT,AVAXUSDT,LTCUSDT,TRXUSDT,DOTUSDT",11,-18.98,6057.55,68.85,-32.96,1.216,177,74.74,85.81,68.46,39.6742
without_LINKUSDT,"BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SOLUSDT,ADAUSDT,DOGEUSDT,AVAXUSDT,LTCUSDT,TRXUSDT,DOTUSDT",11,-19.505,11958.63,83.91,-36.56,1.371,206,69.38,86.14,66.82,46.5432
full12,"BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SOLUSDT,ADAUSDT,DOGEUSDT,LINKUSDT,AVAXUSDT,LTCUSDT,TRXUSDT,DOTUSDT",12,-19.614,15300.6,89.72,-36.56,1.418,213,69.38,87.05,69.43,49.9826
without_TRXUSDT,"BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SOLUSDT,ADAUSDT,DOGEUSDT,LINKUSDT,AVAXUSDT,LTCUSDT,DOTUSDT",11,-19.779,6648.58,70.82,-36.56,1.511,189,71.43,86.24,66.87,45.0807
without_SOLUSDT,"BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,LINKUSDT,AVAXUSDT,LTCUSDT,TRXUSDT,DOTUSDT",11,-20.319,10933.21,81.84,-36.56,1.381,198,69.49,86.32,67.84,47.5008
without_DOTUSDT,"BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SOLUSDT,ADAUSDT,DOGEUSDT,LINKUSDT,AVAXUSDT,LTCUSDT,TRXUSDT",11,-21.082,12017.57,84.02,-36.56,1.391,206,68.62,86.81,68.29,50.1243
without_ADAUSDT,"BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SOLUSDT,DOGEUSDT,LINKUSDT,AVAXUSDT,LTCUSDT,TRXUSDT,DOTUSDT",11,-22.083,9762.75,79.27,-36.56,1.347,207,68.82,86.38,66.96,49.2727
without_XRPUSDT,"BTCUSDT,ETHUSDT,BNBUSDT,SOLUSDT,ADAUSDT,DOGEUSDT,LINKUSDT,AVAXUSDT,LTCUSDT,TRXUSDT,DOTUSDT",11,-22.32,9297.15,78.17,-38.52,1.341,216,69.8,86.75,66.36,46.7577
without_AVAXUSDT,"BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SOLUSDT,ADAUSDT,DOGEUSDT,LINKUSDT,LTCUSDT,TRXUSDT,DOTUSDT",11,-23.552,7960.15,74.73,-36.56,1.303,208,68.62,86.7,67.96,49.2659
without_ETHUSDT,"BTCUSDT,BNBUSDT,XRPUSDT,SOLUSDT,ADAUSDT,DOGEUSDT,LINKUSDT,AVAXUSDT,LTCUSDT,TRXUSDT,DOTUSDT",11,-36.781,3176.89,55.83,-49.84,1.069,210,71.43,85.14,67.36,46.604
